"Category","Function","Gene.name","GCA_900292015.1_MB901379","GCA_936269705.1_RiOegib_v1.0","GCA_947251655.1_ilPheTrem1.Wolbachia_sp_1.1"
"Sulfur cycling enzymes (detailed)","DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol","dimethyl-sulfide monooxygenase subunit A",0,0,0
"Sulfur cycling enzymes (detailed)","DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol","dimethyl-sulfide monooxygenase subunit B",4,1,0
"Sulfur cycling enzymes (detailed)","DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol","methanethiol S-methyltransferase",2,0,0
"Sulfur cycling enzymes (detailed)","Sulfite production from organic sulfur | Taurine -> Sulfite","taurine dioxygenase",0,0,0
"Sulfur cycling enzymes (detailed)","Sulfite production from organic sulfur | Alkylsulfonate/Isethionate -> Sulfite","alkanesulfonate monooxygenase",0,0,0
"Sulfur cycling enzymes (detailed)","Sulfite production from organic sulfur | Methanesulfonate -> Sulfite","methanesulfonate monooxygenase",0,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | Cysteine <-> Cystathionine","cystathionine gamma-synthase",1,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | Cysteine <-> 3-mercaptopyruvate","aspartate aminotransferase",0,1,1
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | OAHS (O-acetylhomoserine) + Sulfide -> Homocysteine","O-acetylhomoserine (thiol)-lyase",1,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | Cystathionine -> Homocysteine","cysteine-S-conjugate beta-lyase",0,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | Cystathionine -> Homocysteine","cysteine-S-conjugate beta-lyase",1,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | MHO (L-methionine (R)-S-oxide) -> Methionine)","L-methionine (R)-S-oxide reductase",0,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | Homocysteine -> Methionine","5-methyltetrahydrofolate--homocysteine methyltransferase",1,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | Homocysteine <-> Methionine","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase",2,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | SAH (S-adenosyl-L-homocysteine) -> Homocysteine","adenosylhomocysteinase",1,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | SRH (S-ribosylhomocysteine) -> Homocysteine","S-ribosylhomocysteine lyase",0,0,0
"Sulfur cycling enzymes (detailed)","Metabolism of organic sulfur | SAH (S-adenosyl-L-homocysteine) -> SRH (S-ribosylhomocysteine)","adenosylhomocysteine nucleosidase",1,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Cysteine -> Sulfide","cysteine synthase",1,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Cysteine -> Sulfide","S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)",0,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Cysteine -> Sulfide","cysteine-S-conjugate beta-lyase",0,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Cysteine -> Sulfide","D-cysteine desulfhydrase",0,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Cysteine -> Sulfide","cysteine-S-conjugate beta-lyase",1,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Methionine -> Methanethiol","methionine gamma-lyase",3,0,0
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | Methionine -> SAMe (S-adenosyl-L-methionine)","S-adenosylmethionine synthetase",1,0,1
"Sulfur cycling enzymes (detailed)","Sulfur-related amino acid metabolism | SAMe (S-adenosyl-L-methionine) -> SAH (S-adenosyl-L-homocysteine)","DNA (cytosine-5)-methyltransferase 1",0,0,0
